verb_infinitive,verb_language_code,spanish_tense,form_name,conjugated_form,is_irregular
hacer,es,pretérito perfecto subjuntivo,Nosotras / Nosotros,hayamos hecho,Yes
hacer,es,pretérito perfecto subjuntivo,Vosotras / Vosotros,hayáis hecho,Yes
hacer,es,pretérito perfecto subjuntivo,Ellas / Ellos / Ustedes,hayan hecho,Yes
hacer,es,pretérito pluscuamperfecto subjuntivo,Yo,hubiera hecho,Yes
hacer,es,pretérito pluscuamperfecto subjuntivo,Tú,hubieras hecho,Yes
hacer,es,pretérito pluscuamperfecto subjuntivo,Ella / Él / Usted,hubiera hecho,Yes
hacer,es,pretérito pluscuamperfecto subjuntivo,Nosotras / Nosotros,hubiéramos hecho,Yes
hacer,es,pretérito pluscuamperfecto subjuntivo,Vosotras / Vosotros,hubierais hecho,Yes
hacer,es,pretérito pluscuamperfecto subjuntivo,Ellas / Ellos / Ustedes,hubieran hecho,Yes
hacer,es,futuro perfecto subjuntivo,Yo,hubiere hecho,Yes
hacer,es,futuro perfecto subjuntivo,Tú,hubieres hecho,Yes
hacer,es,futuro perfecto subjuntivo,Ella / Él / Usted,hubiere hecho,Yes
hacer,es,futuro perfecto subjuntivo,Nosotras / Nosotros,hubiéremos hecho,Yes
hacer,es,futuro perfecto subjuntivo,Vosotras / Vosotros,hubiereis hecho,Yes
hacer,es,futuro perfecto subjuntivo,Ellas / Ellos / Ustedes,hubieren hecho,Yes
ser,es,presente indicativo,Yo,soy,Yes
ser,es,presente indicativo,Tú,eres,Yes
ser,es,presente indicativo,Ella / Él / Usted,es,Yes
ser,es,presente indicativo,Nosotras / Nosotros,somos,Yes
ser,es,presente indicativo,Vosotras / Vosotros,sois,Yes
ser,es,presente indicativo,Ellas / Ellos / Ustedes,son,Yes
ser,es,pretérito indefinido indicativo,Yo,fui,Yes
ser,es,pretérito indefinido indicativo,Tú,fuiste,Yes
ser,es,pretérito indefinido indicativo,Ella / Él / Usted,fue,Yes
ser,es,pretérito indefinido indicativo,Nosotras / Nosotros,fuimos,Yes
ser,es,pretérito indefinido indicativo,Vosotras / Vosotros,fuisteis,Yes
ser,es,pretérito indefinido indicativo,Ellas / Ellos / Ustedes,fueron,Yes
ser,es,pretérito imperfecto indicativo,Yo,era,Yes
ser,es,pretérito imperfecto indicativo,Tú,eras,Yes
ser,es,pretérito imperfecto indicativo,Ella / Él / Usted,era,Yes
ser,es,pretérito imperfecto indicativo,Nosotras / Nosotros,éramos,Yes
ser,es,pretérito imperfecto indicativo,Vosotras / Vosotros,erais,Yes
ser,es,pretérito imperfecto indicativo,Ellas / Ellos / Ustedes,eran,Yes
ser,es,futuro simple indicativo,Yo,seré,No
ser,es,futuro simple indicativo,Tú,serás,No
ser,es,futuro simple indicativo,Ella / Él / Usted,será,No
ser,es,futuro simple indicativo,Nosotras / Nosotros,seremos,No
ser,es,futuro simple indicativo,Vosotras / Vosotros,seréis,No
ser,es,futuro simple indicativo,Ellas / Ellos / Ustedes,serán,No
ser,es,condicional simple indicativo,Yo,sería,No
ser,es,condicional simple indicativo,Tú,serías,No
ser,es,condicional simple indicativo,Ella / Él / Usted,sería,No
ser,es,condicional simple indicativo,Nosotras / Nosotros,seríamos,No
ser,es,condicional simple indicativo,Vosotras / Vosotros,seríais,No
ser,es,condicional simple indicativo,Ellas / Ellos / Ustedes,serían,No
ser,es,presente perfecto indicativo,Yo,he sido,No
ser,es,presente perfecto indicativo,Tú,has sido,No
